江苏影视,rtmp://live-hls.jstv.com/livezhuzhan/jsys@jstv2m

NewTV爱情喜剧,http://ott.js.chinamobile.com/PLTV/3/224/3221225525/index.m3u8
NewTV古装剧场,http://ott.js.chinamobile.com/PLTV/3/224/3221225527/index.m3u8
NewTV动作电影,http://ott.js.chinamobile.com/PLTV/3/224/3221225529/index.m3u8
CCTV1,http://ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8
NewTV军旅剧场,http://ott.js.chinamobile.com/PLTV/3/224/3221225531/index.m3u8
CCTV9,http://ott.js.chinamobile.com/PLTV/3/224/3221225532/index.m3u8
NewTV军事评论,http://ott.js.chinamobile.com/PLTV/3/224/3221225533/index.m3u8
CCTV4,http://ott.js.chinamobile.com/PLTV/3/224/3221225534/index.m3u8
NewTV明星大片,http://ott.js.chinamobile.com/PLTV/3/224/3221225535/index.m3u8
江西卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225536/index.m3u8
NewTV农业致富,http://ott.js.chinamobile.com/PLTV/3/224/3221225537/index.m3u8
NewTV精品体育,http://ott.js.chinamobile.com/PLTV/3/224/3221225543/index.m3u8
浙江卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225544/index.m3u8
NewTV健康有约,http://ott.js.chinamobile.com/PLTV/3/224/3221225545/index.m3u8
CCTV7,http://ott.js.chinamobile.com/PLTV/3/224/3221225546/index.m3u8
NewTV海外剧场,http://ott.js.chinamobile.com/PLTV/3/224/3221225547/index.m3u8
CCTV6,http://ott.js.chinamobile.com/PLTV/3/224/3221225548/index.m3u8
NewTV家庭剧场,http://ott.js.chinamobile.com/PLTV/3/224/3221225549/index.m3u8
CCTV10,http://ott.js.chinamobile.com/PLTV/3/224/3221225550/index.m3u8
CCTV11,http://ott.js.chinamobile.com/PLTV/3/224/3221225552/index.m3u8
黑莓动画 4M1080,http://ott.js.chinamobile.com/PLTV/3/224/3221225555/index.m3u8
CCTV12,http://ott.js.chinamobile.com/PLTV/3/224/3221225556/index.m3u8
NewTV精品记录,http://ott.js.chinamobile.com/PLTV/3/224/3221225557/index.m3u8
上海卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225558/index.m3u8
NewTV金牌综艺,http://ott.js.chinamobile.com/PLTV/3/224/3221225559/index.m3u8
CCTV13,http://ott.js.chinamobile.com/PLTV/3/224/3221225560/index.m3u8
NewTV惊悚悬疑,http://ott.js.chinamobile.com/PLTV/3/224/3221225561/index.m3u8
惊悚悬疑,http://ott.js.chinamobile.com/PLTV/3/224/3221225561/index.m3u8
天津卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225562/index.m3u8
辽宁卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225566/index.m3u8
NewTV精品电影,http://ott.js.chinamobile.com/PLTV/3/224/3221225567/index.m3u8
黑莓电影 4M1080,http://ott.js.chinamobile.com/PLTV/3/224/3221225567/index.m3u8
CCTV15,http://ott.js.chinamobile.com/PLTV/3/224/3221225568/index.m3u8
NewTV精品大剧,http://ott.js.chinamobile.com/PLTV/3/224/3221225569/index.m3u8
四川卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225570/index.m3u8
北京卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225574/index.m3u8
广东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225578/index.m3u8
西藏卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225579/index.m3u8
青海卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225580/index.m3u8
CCTV3,http://ott.js.chinamobile.com/PLTV/3/224/3221225588/index.m3u8
甘肃卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225590/index.m3u8
云南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225591/index.m3u8
广东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225592/index.m3u8
重庆卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225594/index.m3u8
河北卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221225602/index.m3u8
CCTV5+,http://ott.js.chinamobile.com/PLTV/3/224/3221225604/index.m3u8
SDETV,http://ott.js.chinamobile.com/PLTV/3/224/3221225614/index.m3u8
金鹰卡通,http://ott.js.chinamobile.com/PLTV/3/224/3221225620/index.m3u8
CETV1,http://ott.js.chinamobile.com/PLTV/3/224/3221225622/index.m3u8
