序号,频道名称,组播地址,频道ID,清晰度/帧率/码率,				回放地址
1,CCTV-1高清,239.93.0.184:5140,3954,未能播放,rtsp://182.139.235.40/PLTV/88888893/224/3221226889/10000100000000060000000000622347_0.smil
2,CCTV-2高清,239.93.1.23:6000,9831,未能播放,rtsp://182.139.235.40/PLTV/88888896/224/3221227983/10000100000000060000000003751359_0.smil
3,CCTV-3高清,239.93.1.11:2223,6871,未能播放,rtsp://182.139.235.40/PLTV/88888893/224/3221226816/10000100000000060000000001366243_0.smil
4,CCTV-4高清,239.93.1.105:5140,9837,未能播放,rtsp://182.139.235.40/PLTV/88888896/224/3221227928/10000100000000060000000003751404_0.smil
5,CCTV-5高清,239.93.1.12:2224,6872,未能播放,rtsp://182.139.235.40/PLTV/88888893/224/3221227219/10000100000000060000000001366244_0.smil
6,CCTV-6高清,239.93.1.13:2226,6891,未能播放,rtsp://182.139.235.40/PLTV/88888893/224/3221226820/10000100000000060000000001366343_0.smil
7,CCTV-7高清,239.93.1.67:5140,9832,未能播放,rtsp://182.139.235.40/PLTV/88888896/224/3221227989/10000100000000060000000003751413_0.smil
8,CCTV-8高清,239.93.42.39:5140,658583152,未能播放,rtsp://182.139.235.40/PLTV/88888895/224/3221228481/658583153.smil
9,CCTV-9高清,239.93.1.24:5140,9833,未能播放,rtsp://182.139.235.40/PLTV/88888896/224/3221227993/10000100000000060000000003751454_0.smil
10,CCTV-10高清,239.93.1.28:5140,9834,未能播放,rtsp://182.139.235.40/PLTV/88888896/224/3221227995/10000100000000060000000003751458_0.smil
11,CCTV-11高清,239.93.0.102:5140,616099605,未能播放,rtsp://182.139.235.40/PLTV/88888895/224/3221228432/616099606.smil
12,CCTV-12高清,239.93.1.30:8124,9835,未能播放,rtsp://182.139.235.40/PLTV/88888896/224/3221227986/10000100000000060000000003751507_0.smil
13,CCTV-13高清,239.93.0.66:5140,658212967,未能播放,rtsp://182.139.235.40/PLTV/88888895/224/3221228546/658212968.smil
14,CCTV-少儿高清,239.93.1.29:6000,9836,未能播放,rtsp://182.139.235.40/PLTV/88888896/224/3221227992/10000100000000060000000003751527_0.smil
15,CCTV-15高清,239.93.0.103:5140,616097933,未能播放,rtsp://182.139.235.40/PLTV/88888895/224/3221228431/616097934.smil
