国内▪有线,#genre#
求索纪录,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=QSJLHD_7000
求索纪录,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=QSJLHD_3000
求索科学,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=qiusuokexueHD_7000
求索科学,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=qiusuokexueHD_3000
求索动物,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=QSDWHD_7000
求索动物,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=QSDWHD_3000
求索生活,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=QSSHHD_7000
求索生活,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=QSSHHD_3000
全纪实,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=quanjishiHD_7000
全纪实,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=quanjishiHD_3000
全纪实,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=quanjishi_1500
高清电影,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=HDChanneldemo_7000
高清电影,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=HDChanneldemo_3000
劲爆体育,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=jinbaotiyuHD_7000
劲爆体育,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=jinbaotiyuHD_3000
劲爆体育,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=jinbaotiyu_1500
快乐垂钓,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=huanxiaojuchangHD_7000
快乐垂钓,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=huanxiaojuchangHD_3000
快乐垂钓,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=huanxiaojuchang_1500
魅力足球,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=meiliyinyueHD_7000
魅力足球,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=meiliyinyueHD_3000
魅力足球,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=meiliyinyue_1500
新动漫,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=xindongman_1500
幸福彩,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=xingfucai_1500
法治天地,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=fazhitiandi_1500
都市剧场,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=dushijuchang_1500
极速汽车,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=jisuqiche_1500
七彩戏剧,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=qicaixiju_1500
金色频道,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=jinsepindao_1500
生活时尚,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=shenghuoshishang_1500
东方财经,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=dongfangcaijing_1500
环球奇观,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=huanqiuqiguan_1500
书画频道,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=shuhua_1500
网络棋牌,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=wangluoqipai_1500
先锋乒羽,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=pingyu_1500
中国天气,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=zgqixiang_1500
动漫秀场,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=dongmanxiuchang_1500
卡酷少儿,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=kakushaoer_1500
嘉佳卡通,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=gdjiajiacartoon_1500
哈哈炫动,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=xuandongkatong_1500
优漫卡通,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=youmankatong_1500
金鹰卡通,http://tyzb0808.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb01.php?id=jinyingkatong_1500.m3u8
数字▪电视,#genre#
IPTV5+频道,http://39.134.39.37/PLTV/88888888/224/3221226267/index.m3u8?微信公众号：太阳视界/tyzb00.php?id=9
IPTV6+频道,http://39.134.39.37/PLTV/88888888/224/3221226269/index.m3u8?微信公众号：太阳视界/tyzb00.php?id=10
