央视卫视,#genre#
爱上4k,http://39.134.24.220/PLTV/88888888/224/3221226005/index.m3u8
南国4K,http://120.221.226.226/aplay.gztv.com/sec/shenghuos.m3u8
广州新闻,http://61.151.179.192/aplays.gztv.com/live/xinwen.m3u8
广州综合,http://61.151.179.192/aplays.gztv.com/live/zhonghes.m3u8
广州法治,http://61.151.179.192/aplays.gztv.com/live/fazhi.m3u8
广州影视,http://61.151.179.192/aplays.gztv.com/live/yingshi.m3u8
广州竞赛,http://live-bdxcx.mtq.tvmmedia.cn/baidu/live_GZJingSai.m3u8
南国都市,http://61.151.179.192/aplays.gztv.com/sec/shenghuos.m3u8
广东综艺4K,http://player.ioioz.com/1786/gd/gdtvm3u8.php?id=gdzy
广州新闻,http://120.221.226.226/aplay.gztv.com/sec/xinwen.m3u8
广州新闻,http://61.151.179.192/aplays.gztv.com/live/xinwen.m3u8
广州综合,http://61.151.179.192/aplays.gztv.com/live/zhonghes.m3u8
广州法治,http://61.151.179.192/aplays.gztv.com/live/fazhi.m3u8
广州影视,http://61.151.179.192/aplays.gztv.com/live/yingshi.m3u8
广州竞赛,http://live-bdxcx.mtq.tvmmedia.cn/baidu/live_GZJingSai.m3u8
南国都市,http://61.151.179.192/aplays.gztv.com/sec/shenghuos.m3u8
BesTV4K,http://117.148.187.46/PLTV/88888888/224/3221226718/index.m3u8
体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225764/index.m3u8
天鹅影视,http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227762/index.m3u8
福建公共,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226113/10000100000000060000000002358064_0.smil
福建电视剧,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226115/10000100000000060000000002358067_0.smil
福建少儿,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226120/10000100000000060000000002358082_0.smil
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
BEST电影,http://101.71.255.229:6610/zjhs/2/10052/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
CCTV-1综合,http://117.169.72.135:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV-2财经,http://117.169.72.135:8080/PLTV/88888888/224/3221225631/index.m3u8
CCTV-3综艺,http://117.169.72.135:8080/PLTV/88888888/224/3221225632/index.m3u8
CCTV-1综合,http://221.179.217.9/PLTV/88888888/224/3221226155/1.m3u8
CCTV-1综合,http://221.179.217.9/PLTV/88888888/224/3221226226/1.m3u8
CCTV-1综合,http://221.179.217.9/PLTV/88888888/224/3221226346/1.m3u8
CCTV-1综合,http://221.179.217.9/PLTV/88888888/224/3221226431/1.m3u8
CCTV-2财经,http://221.179.217.9/PLTV/88888888/224/3221226230/1.m3u8
CCTV-2财经,http://221.179.217.9/PLTV/88888888/224/3221226371/1.m3u8
CCTV-2财经,http://221.179.217.9/PLTV/88888888/224/3221226472/1.m3u8
CCTV-3综艺,http://221.179.217.9/PLTV/88888888/224/3221226471/1.m3u8
CCTV-4中文国际,http://221.179.217.9/PLTV/88888888/224/3221226314/1.m3u8
CCTV-4中文国际,http://221.179.217.9/PLTV/88888888/224/3221226470/1.m3u8
CCTV-5体育,http://221.179.217.9/PLTV/88888888/224/3221226469/1.m3u8
CCTV-体育赛事,http://221.179.217.9/PLTV/88888888/224/3221226225/1.m3u8
CCTV-体育赛事,http://221.179.217.9/PLTV/88888888/224/3221226349/1.m3u8
CCTV-6电影,http://221.179.217.9/PLTV/88888888/224/3221226468/1.m3u8
CCTV-7国防军事,http://221.179.217.9/PLTV/88888888/224/3221226234/1.m3u8
CCTV-7国防军事,http://221.179.217.9/PLTV/88888888/224/3221226467/1.m3u8
CCTV-8电视剧,http://221.179.217.9/PLTV/88888888/224/3221226485/1.m3u8
CCTV-9纪录,http://221.179.217.9/PLTV/88888888/224/3221226236/1.m3u8
CCTV-9纪录,http://221.179.217.9/PLTV/88888888/224/3221226465/1.m3u8
CCTV-10科教,http://221.179.217.9/PLTV/88888888/224/3221226464/1.m3u8
CCTV-11戏曲,http://221.179.217.9/PLTV/88888888/224/3221226463/1.m3u8
CCTV-12社会与法,http://221.179.217.9/PLTV/88888888/224/3221226228/1.m3u8
CCTV-12社会与法,http://221.179.217.9/PLTV/88888888/224/3221226462/1.m3u8
CCTV-13新闻,http://221.179.217.9/PLTV/88888888/224/3221226316/1.m3u8
CCTV-13新闻,http://39.134.65.162/PLTV/88888888/224/3221225515/index.m3u8
CCTV-14少儿,http://221.179.217.9/PLTV/88888888/224/3221226229/1.m3u8
CCTV-14少儿,http://221.179.217.9/PLTV/88888888/224/3221226461/1.m3u8
CCTV-15音乐,http://221.179.217.9/PLTV/88888888/224/3221226317/1.m3u8
CCTV-15音乐,http://221.179.217.9/PLTV/88888888/224/3221226460/1.m3u8
CCTV-17农业农村,http://221.179.217.9/PLTV/88888888/224/3221226318/1.m3u8
CCTV-17农业农村,http://221.179.217.9/PLTV/88888888/224/3221226459/1.m3u8
CCTV-第一剧场:rtmp://58.200.131.2:1935/livetv/dyjctv
CCTV-国防军事:rtmp://58.200.131.2:1935/livetv/gfjstv
CCTV-怀旧剧场:rtmp://58.200.131.2:1935/livetv/hjjctv
CCTV-风云剧场:rtmp://58.200.131.2:1935/livetv/fyjctv
CCTV-风云足球:rtmp://58.200.131.2:1935/livetv/fyzqtv
CCTV-风云音乐:rtmp://58.200.131.2:1935/livetv/fyyytv
CCTV-世界地理:rtmp://58.200.131.2:1935/livetv/sjdltv
CCTV-世界地理,http://39.136.11.19/gz.ucdn.10086.cn/PLTV/88888888/224/3221225733//index.m3u8?fmt=ts2hls
CCTV-兵器科技,http://39.136.11.19/gz.ucdn.10086.cn/PLTV/88888888/224/3221225676//index.m3u8?fmt=ts2hls
CCTV-文化精品,http://39.136.11.19/gz.ucdn.10086.cn/PLTV/88888888/224/3221225675//index.m3u8?fmt=ts2hls
CCTV-女性时尚,http://39.136.11.19/gz.ucdn.10086.cn/PLTV/88888888/224/3221225699//index.m3u8?fmt=ts2hls
CCTV-怀旧剧场,http://39.136.11.19/gz.ucdn.10086.cn/PLTV/88888888/224/3221225765//index.m3u8?fmt=ts2hls
CCTV-电视指南,http://39.136.11.19/gz.ucdn.10086.cn/PLTV/88888888/224/3221225673//index.m3u8?fmt=ts2hls
CCTV-第一剧场,http://39.136.11.19/gz.ucdn.10086.cn/PLTV/88888888/224/3221225702//index.m3u8?fmt=ts2hls
CCTV-风云剧场,http://39.136.11.19/gz.ucdn.10086.cn/PLTV/88888888/224/3221225700//index.m3u8?fmt=ts2hls
CCTV-风云足球,http://39.136.11.19/gz.ucdn.10086.cn/PLTV/88888888/224/3221225734//index.m3u8?fmt=ts2hls
CCTV-风云音乐,http://39.136.11.19/gz.ucdn.10086.cn/PLTV/88888888/224/3221225698//index.m3u8?fmt=ts2hls
CCTV-高尔夫网球,http://39.136.11.19/gz.ucdn.10086.cn/PLTV/88888888/224/3221225674//index.m3u8?fmt=ts2hls
美人,http://39.134.39.37/PLTV/88888888/224/3221226339/index.m3u8
中国供销社,https://38649.hlsplay.aodianyun.com/guangdianyun_38649/program_live_channel_34275.m3u8
CETV1,http://221.179.217.9/PLTV/88888888/224/3221226494/1.m3u8
CETV2,http://221.179.217.9/PLTV/88888888/224/3221226537/1.m3u8
CETV3,http://223.110.251.131:6610/gitv/live1/G_CETV-3/G_CETV-3/
CETV4,http://221.179.217.9/PLTV/88888888/224/3221226362/1.m3u8
CETV4,http://221.179.217.9/PLTV/88888888/224/3221226557/1.m3u8
